UNIPROT:Q9UN73:T116:PRGE	Protocadherin alpha-6|PCDHA6	UNIPROT:Q9UN73|GENE:56142
UNIPROT:Q8IWV1:T116:PRGE	Lymphocyte transmembrane adapter 1|LAX1	UNIPROT:Q8IWV1|GENE:54900
UNIPROT:Q9H339:T116:PRGE	Olfactory receptor 51B5|OR51B5	UNIPROT:Q9H339|GENE:282763
UNIPROT:Q9BX26:T116:PRGE	SCP-2|SYCP2	UNIPROT:Q9BX26|GENE:10388
UNIPROT:Q6ZR54:T116:PRGE	Putative uncharacterized protein FLJ46641	UNIPROT:Q6ZR54
UNIPROT:Q765P7:T116:PRGE	MTSS1-like protein|MTSS1L	UNIPROT:Q765P7|GENE:92154
UNIPROT:Q14191:T116:PRGE	Werner syndrome ATP-dependent helicase|WRN	UNIPROT:Q14191|GENE:7486
UNIPROT:Q13202:T116:PRGE	Dual specificity protein phosphatase 8|DUSP8	UNIPROT:Q13202|GENE:1850
UNIPROT:Q6EKJ0:T116:PRGE	GTF2I repeat domain-containing protein 2B|GTF2IRD2B	UNIPROT:Q6EKJ0|GENE:389524
UNIPROT:Q96FT9:T116:PRGE	Uncharacterized protein C14orf179|IFT43	UNIPROT:Q96FT9|GENE:112752
UNIPROT:Q8IUX7:T116:PRGE	AE-binding protein 1|AEBP1	UNIPROT:Q8IUX7|GENE:165
UNIPROT:A6NM76:T116:PRGE	Olfactory receptor 6C76|OR6C76	UNIPROT:A6NM76|GENE:390326
UNIPROT:P15516:T116:PRGE	|HTN3	UNIPROT:P15516|GENE:3347
UNIPROT:Q8IVQ6:T116:PRGE	Probable palmitoyltransferase ZDHHC21|ZDHHC21	UNIPROT:Q8IVQ6|GENE:340481
UNIPROT:Q13043:T116:PRGE	Serine/threonine-protein kinase 4|STK4	UNIPROT:Q13043|GENE:6789
UNIPROT:P35790:T116:PRGE	Choline kinase alpha|CHKA	UNIPROT:P35790|GENE:1119
UNIPROT:Q96CX6:T116:PRGE	Leucine-rich repeat-containing protein 58|LRRC58	UNIPROT:Q96CX6|GENE:116064
UNIPROT:Q9BRS2:T116:PRGE	Serine/threonine-protein kinase RIO1|RIOK1	UNIPROT:Q9BRS2|GENE:83732
UNIPROT:O15540:T116:PRGE	Fatty acid-binding protein, brain|FABP7	UNIPROT:O15540|GENE:2173
UNIPROT:Q6UXG8:T116:PRGE	Butyrophilin-like protein 9|BTNL9	UNIPROT:Q6UXG8|GENE:153579
UNIPROT:P22090:T116:PRGE	40S ribosomal protein S4, Y isoform 1|RPS4Y1	UNIPROT:P22090|GENE:6192
UNIPROT:Q8WW35:T116:PRGE	Tctex1 domain-containing protein 2|TCTEX1D2	UNIPROT:Q8WW35|GENE:255758
UNIPROT:P11226:T116:PRGE	Mannose-binding protein C|MBL2	UNIPROT:P11226|GENE:4153
UNIPROT:Q8IYH5:T116:PRGE	ZZ-type zinc finger-containing protein 3|ZZZ3	UNIPROT:Q8IYH5|GENE:26009
UNIPROT:Q460N3:T116:PRGE	PARP-15|PARP15	UNIPROT:Q460N3|GENE:165631
UNIPROT:Q08426:T116:PRGE	PBFE|EHHADH	UNIPROT:Q08426|GENE:1962
UNIPROT:Q8IYP2:T116:PRGE	Trypsin-X3|PRSS58	UNIPROT:Q8IYP2|GENE:136541
UNIPROT:Q8IYJ2:T116:PRGE	Uncharacterized protein C10orf67|C10orf67	UNIPROT:Q8IYJ2|GENE:256815
UNIPROT:Q9Y4P9:T116:PRGE	Sperm flagellar protein 1|SPEF1	UNIPROT:Q9Y4P9|GENE:25876
UNIPROT:P14735:T116:PRGE	Insulin-degrading enzyme|IDE	UNIPROT:P14735|GENE:3416
UNIPROT:P49281:T116:PRGE	Natural resistance-associated macrophage protein 2|SLC11A2	UNIPROT:P49281|GENE:4891
UNIPROT:Q7L0J3:T116:PRGE	Synaptic vesicle glycoprotein 2A|SV2A	UNIPROT:Q7L0J3|GENE:9900
UNIPROT:Q5XX13:T116:PRGE	F-box/WD repeat-containing protein 10|FBXW10	UNIPROT:Q5XX13|GENE:10517
UNIPROT:Q14247:T116:PRGE	Src substrate cortactin|CTTN	UNIPROT:Q14247|GENE:2017
UNIPROT:Q9ULD5:T116:PRGE	Zinc finger protein 777|ZNF777	UNIPROT:Q9ULD5|GENE:27153
UNIPROT:P13385:T116:PRGE	Teratocarcinoma-derived growth factor 1|TDGF1	UNIPROT:P13385|GENE:6997
UNIPROT:Q1ED39:T116:PRGE	Protein C16orf88|C16orf88	UNIPROT:Q1ED39|GENE:400506
UNIPROT:P17509:T116:PRGE	Homeobox protein Hox-B6|HOXB6	UNIPROT:P17509|GENE:3216
UNIPROT:O14810:T116:PRGE	Complexin-1|CPLX1	UNIPROT:O14810|GENE:10815
UNIPROT:A0PJW6:T116:PRGE	Transmembrane protein 223|TMEM223	UNIPROT:A0PJW6|GENE:79064
UNIPROT:Q96E29:T116:PRGE	mTERF domain-containing protein 1, mitochondrial|MTERFD1	UNIPROT:Q96E29|GENE:51001
UNIPROT:Q2M2E3:T116:PRGE	Outer dense fiber protein 4|ODF4	UNIPROT:Q2M2E3|GENE:146852
UNIPROT:P56851:T116:PRGE	Epididymal secretory protein E3-beta|EDDM3B	UNIPROT:P56851|GENE:64184
UNIPROT:Q6P9G4:T116:PRGE	Transmembrane protein 154|TMEM154	UNIPROT:Q6P9G4|GENE:201799
UNIPROT:P46597:T116:PRGE	Hydroxyindole O-methyltransferase|ASMT	UNIPROT:P46597|GENE:438
UNIPROT:P54764:T116:PRGE	Ephrin type-A receptor 4|EPHA4	UNIPROT:P54764|GENE:2043
UNIPROT:Q8IW35:T116:PRGE	Cep97|CEP97	UNIPROT:Q8IW35|GENE:79598
UNIPROT:Q8WWM1:T116:PRGE	G antigen family D member 5|XAGE5	UNIPROT:Q8WWM1|GENE:170627
UNIPROT:Q5JTY5:T116:PRGE	COBW domain-containing protein 3|CBWD3	UNIPROT:Q5JTY5|GENE:445571
UNIPROT:Q13733:T116:PRGE	Sodium/potassium-transporting ATPase subunit alpha-4|ATP1A4	UNIPROT:Q13733|GENE:480
UNIPROT:Q8NGS8:T116:PRGE	Olfactory receptor 13C5|OR13C5	UNIPROT:Q8NGS8|GENE:138799
UNIPROT:O43526:T116:PRGE	Potassium voltage-gated channel subfamily KQT member 2|KCNQ2	UNIPROT:O43526|GENE:3785
UNIPROT:P25098:T116:PRGE	Beta-adrenergic receptor kinase 1|ADRBK1	UNIPROT:P25098|GENE:156
UNIPROT:A6NCM1:T116:PRGE	Putative IQ and AAA domain-containing protein 1-like	UNIPROT:A6NCM1
UNIPROT:Q05DH4:T116:PRGE	Protein FAM160A1|FAM160A1	UNIPROT:Q05DH4|GENE:729830
UNIPROT:O00458:T116:PRGE	Interferon-related developmental regulator 1|IFRD1	UNIPROT:O00458|GENE:3475
UNIPROT:Q8N859:T116:PRGE	Zinc finger protein 713|ZNF713	UNIPROT:Q8N859|GENE:349075
UNIPROT:P54922:T116:PRGE	[Protein ADP-ribosylarginine] hydrolase|ADPRH	UNIPROT:P54922|GENE:141
UNIPROT:Q6ZR62:T116:PRGE	Zinc finger CCHC domain-containing protein 16|ZCCHC16	UNIPROT:Q6ZR62|GENE:340595
UNIPROT:P60412:T116:PRGE	Keratin-associated protein 10-11|KRTAP10-11	UNIPROT:P60412|GENE:386678
UNIPROT:Q9BYR0:T116:PRGE	Keratin-associated protein 4-7	UNIPROT:Q9BYR0
UNIPROT:A6NCW0:T116:PRGE	Ubiquitin carboxyl-terminal hydrolase 17-like protein 3	UNIPROT:A6NCW0
UNIPROT:Q9UBY0:T116:PRGE	Sodium/hydrogen exchanger 2|SLC9A2	UNIPROT:Q9UBY0|GENE:6549
UNIPROT:Q9UNP9:T116:PRGE	Peptidyl-prolyl cis-trans isomerase E|PPIE	UNIPROT:Q9UNP9|GENE:10450
UNIPROT:Q9NVH0:T116:PRGE	Exonuclease 3'-5' domain-containing protein 2|EXD2	UNIPROT:Q9NVH0|GENE:55218
UNIPROT:Q9P1Z2:T116:PRGE	Calcium-binding and coiled-coil domain-containing protein 1|CALCOCO1	UNIPROT:Q9P1Z2|GENE:57658
UNIPROT:Q6PKC3:T116:PRGE	Thioredoxin domain-containing protein 11|TXNDC11	UNIPROT:Q6PKC3|GENE:51061
UNIPROT:P51810:T116:PRGE	G-protein coupled receptor 143|GPR143	UNIPROT:P51810|GENE:4935
UNIPROT:Q2M1K9:T116:PRGE	Zinc finger protein 423|ZNF423	UNIPROT:Q2M1K9|GENE:23090
UNIPROT:P0C5K7:T116:PRGE	Cancer/testis antigen 62|CT62	UNIPROT:P0C5K7|GENE:196993
UNIPROT:Q13219:T116:PRGE	Pappalysin-1|PAPPA	UNIPROT:Q13219|GENE:5069
UNIPROT:Q5T8I3:T116:PRGE	Protein FAM102B|FAM102B	UNIPROT:Q5T8I3|GENE:284611
UNIPROT:Q9BXS6:T116:PRGE	Nucleolar and spindle-associated protein 1|NUSAP1	UNIPROT:Q9BXS6|GENE:51203
UNIPROT:O75935:T116:PRGE	Dynactin subunit 3|DCTN3	UNIPROT:O75935|GENE:11258
UNIPROT:Q9BWW4:T116:PRGE	Single-stranded DNA-binding protein 3|SSBP3	UNIPROT:Q9BWW4|GENE:23648
UNIPROT:P43007:T116:PRGE	Neutral amino acid transporter A|SLC1A4	UNIPROT:P43007|GENE:6509
UNIPROT:Q13601:T116:PRGE	KRR1 small subunit processome component homolog|KRR1	UNIPROT:Q13601|GENE:11103
UNIPROT:O15266:T116:PRGE	Short stature homeobox protein|SHOX	UNIPROT:O15266|GENE:6473
UNIPROT:Q53EL6:T116:PRGE	Programmed cell death protein 4|PDCD4	UNIPROT:Q53EL6|GENE:27250
UNIPROT:Q9UL26:T116:PRGE	Ras-related protein Rab-22A|RAB22A	UNIPROT:Q9UL26|GENE:57403
UNIPROT:Q8N9R8:T116:PRGE	Protein SCAI|SCAI	UNIPROT:Q8N9R8|GENE:286205
UNIPROT:Q4VNC1:T116:PRGE	Probable cation-transporting ATPase 13A4|ATP13A4	UNIPROT:Q4VNC1|GENE:84239
UNIPROT:P28347:T116:PRGE	Transcriptional enhancer factor TEF-1|TEAD1	UNIPROT:P28347|GENE:7003
UNIPROT:Q5T5C0:T116:PRGE	Syntaxin-binding protein 5|STXBP5	UNIPROT:Q5T5C0|GENE:134957
UNIPROT:Q99807:T116:PRGE	Ubiquinone biosynthesis protein COQ7 homolog|COQ7	UNIPROT:Q99807|GENE:10229
UNIPROT:O00442:T116:PRGE	RNA cyclase|RTCD1	UNIPROT:O00442|GENE:8634
UNIPROT:Q96BV0:T116:PRGE	Zinc finger protein 775|ZNF775	UNIPROT:Q96BV0|GENE:285971
UNIPROT:P0CB47:T116:PRGE	Putative upstream-binding factor 1-like protein 1|UBTFL1	UNIPROT:P0CB47|GENE:642623
UNIPROT:P32297:T116:PRGE	Neuronal acetylcholine receptor subunit alpha-3|CHRNA3	UNIPROT:P32297|GENE:1136
UNIPROT:Q9Y4F9:T116:PRGE	Protein FAM65B|FAM65B	UNIPROT:Q9Y4F9|GENE:9750
UNIPROT:Q9HA82:T116:PRGE	LAG1 longevity assurance homolog 4|CERS4	UNIPROT:Q9HA82|GENE:79603
UNIPROT:Q96Q83:T116:PRGE	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3|ALKBH3	UNIPROT:Q96Q83|GENE:221120
UNIPROT:Q7Z4W3:T116:PRGE	Keratin-associated protein 19-3|KRTAP19-3	UNIPROT:Q7Z4W3|GENE:337970
UNIPROT:P51522:T116:PRGE	Zinc finger protein 83|ZNF83	UNIPROT:P51522|GENE:55769
UNIPROT:Q9BQT8:T116:PRGE	Mitochondrial 2-oxodicarboxylate carrier|SLC25A21	UNIPROT:Q9BQT8|GENE:89874
UNIPROT:Q5VZV1:T116:PRGE	UPF0567 protein C13orf39|METTL21C	UNIPROT:Q5VZV1|GENE:196541
UNIPROT:Q6UWI2:T116:PRGE	Prostate androgen-regulated mucin-like protein 1|PARM1	UNIPROT:Q6UWI2|GENE:25849
UNIPROT:Q8IUB5:T116:PRGE	Protein WFDC13|WFDC13	UNIPROT:Q8IUB5|GENE:164237
UNIPROT:P12524:T116:PRGE	Protein L-Myc-1|MYCL1	UNIPROT:P12524|GENE:4610
UNIPROT:Q66K80:T116:PRGE	Uncharacterized protein C1orf104|RUSC1-AS1	UNIPROT:Q66K80|GENE:284618
UNIPROT:Q9H237:T116:PRGE	Probable protein-cysteine N-palmitoyltransferase porcupine|PORCN	UNIPROT:Q9H237|GENE:64840
UNIPROT:Q8WUZ0:T116:PRGE	B-cell CLL/lymphoma 7 protein family member C|BCL7C	UNIPROT:Q8WUZ0|GENE:9274
UNIPROT:O15118:T116:PRGE	Niemann-Pick C1 protein|NPC1	UNIPROT:O15118|GENE:4864
UNIPROT:Q9UBP5:T116:PRGE	Hairy/enhancer-of-split related with YRPW motif protein 2|HEY2	UNIPROT:Q9UBP5|GENE:23493
UNIPROT:O00522:T116:PRGE	Krev interaction trapped 1|KRIT1	UNIPROT:O00522|GENE:889
UNIPROT:O95757:T116:PRGE	Heat shock 70 kDa protein 4L|HSPA4L	UNIPROT:O95757|GENE:22824
UNIPROT:Q96RC9:T116:PRGE	Olfactory receptor 8B4|OR8B4	UNIPROT:Q96RC9|GENE:283162
UNIPROT:Q8N801:T116:PRGE	Uncharacterized protein C2orf61|C2orf61	UNIPROT:Q8N801|GENE:285051
UNIPROT:P07320:T116:PRGE	Gamma-crystallin D|CRYGD	UNIPROT:P07320|GENE:1421
UNIPROT:Q6NUN7:T116:PRGE	Uncharacterized protein C11orf63|C11orf63	UNIPROT:Q6NUN7|GENE:79864
UNIPROT:O14498:T116:PRGE	Immunoglobulin superfamily containing leucine-rich repeat protein|ISLR	UNIPROT:O14498|GENE:3671
UNIPROT:Q8NC96:T116:PRGE	Adaptin ear-binding coat-associated protein 1|NECAP1	UNIPROT:Q8NC96|GENE:25977
UNIPROT:Q8TBF5:T116:PRGE	Phosphatidylinositol-glycan biosynthesis class X protein|PIGX	UNIPROT:Q8TBF5|GENE:54965
UNIPROT:Q14590:T116:PRGE	Zinc finger protein 235|ZNF235	UNIPROT:Q14590|GENE:9310
UNIPROT:Q96LT4:T116:PRGE	Sphingomyelin synthase-related protein 1|SAMD8	UNIPROT:Q96LT4|GENE:142891
UNIPROT:Q9BYE3:T116:PRGE	Late cornified envelope protein 3D|LCE3D	UNIPROT:Q9BYE3|GENE:84648
UNIPROT:Q1X8D7:T116:PRGE	Leucine-rich repeat-containing protein 36|LRRC36	UNIPROT:Q1X8D7|GENE:55282
UNIPROT:O43805:T116:PRGE	Sjoegren syndrome nuclear autoantigen 1|SSNA1	UNIPROT:O43805|GENE:8636
UNIPROT:P78386:T116:PRGE	Keratin, type II cuticular Hb5|KRT85	UNIPROT:P78386|GENE:3891
UNIPROT:Q49A92:T116:PRGE	Uncharacterized protein C8orf34|C8orf34	UNIPROT:Q49A92|GENE:116328
UNIPROT:Q7Z7L9:T116:PRGE	Zinc finger and SCAN domain-containing protein 2|ZSCAN2	UNIPROT:Q7Z7L9|GENE:54993
UNIPROT:Q8NGU1:T116:PRGE	Putative olfactory receptor 9A1	UNIPROT:Q8NGU1
UNIPROT:Q96M60:T116:PRGE	Uncharacterized protein C15orf33|C15orf33	UNIPROT:Q96M60|GENE:196951
UNIPROT:Q86UA1:T116:PRGE	Pre-mRNA-processing factor 39|PRPF39	UNIPROT:Q86UA1|GENE:55015
UNIPROT:P53365:T116:PRGE	Arfaptin-2|ARFIP2	UNIPROT:P53365|GENE:23647
UNIPROT:O43423:T116:PRGE	Acidic leucine-rich nuclear phosphoprotein 32 family member C|ANP32C	UNIPROT:O43423|GENE:23520
UNIPROT:Q9UH77:T116:PRGE	Kelch-like protein 3|KLHL3	UNIPROT:Q9UH77|GENE:26249
UNIPROT:Q8IXV7:T116:PRGE	Kelch domain-containing protein 8B|KLHDC8B	UNIPROT:Q8IXV7|GENE:200942
UNIPROT:Q6ZTQ3:T116:PRGE	Ras association domain-containing protein 6|RASSF6	UNIPROT:Q6ZTQ3|GENE:166824
UNIPROT:Q8N1N0:T116:PRGE	C-type lectin domain family 4 member F|CLEC4F	UNIPROT:Q8N1N0|GENE:165530
UNIPROT:P55285:T116:PRGE	Cadherin-6|CDH6	UNIPROT:P55285|GENE:1004
UNIPROT:P04062:T116:PRGE	Glucosylceramidase|GBA	UNIPROT:P04062|GENE:2629
UNIPROT:Q8NG31:T116:PRGE	Protein CASC5|CASC5	UNIPROT:Q8NG31|GENE:57082
UNIPROT:Q96BZ4:T116:PRGE	PLD 4|PLD4	UNIPROT:Q96BZ4|GENE:122618
UNIPROT:Q6MZP7:T116:PRGE	Protein lin-54 homolog|LIN54	UNIPROT:Q6MZP7|GENE:132660
UNIPROT:Q6ICG6:T116:PRGE	Uncharacterized protein C22orf9|KIAA0930	UNIPROT:Q6ICG6|GENE:23313
UNIPROT:P10412:T116:PRGE	Histone H1.4|HIST1H1E	UNIPROT:P10412|GENE:3008
UNIPROT:P27482:T116:PRGE	Calmodulin-like protein 3|CALML3	UNIPROT:P27482|GENE:810
UNIPROT:Q6P435:T116:PRGE	Putative uncharacterized SMG1-like protein	UNIPROT:Q6P435
UNIPROT:P78310:T116:PRGE	Coxsackievirus and adenovirus receptor|CXADR	UNIPROT:P78310|GENE:1525
UNIPROT:Q8IXT1:T116:PRGE	Nitric oxide-inducible gene protein|C11orf82	UNIPROT:Q8IXT1|GENE:220042
UNIPROT:O95967:T116:PRGE	EGF-containing fibulin-like extracellular matrix protein 2|EFEMP2	UNIPROT:O95967|GENE:30008
UNIPROT:Q15573:T116:PRGE	TATA box-binding protein-associated factor RNA polymerase I subunit A|TAF1A	UNIPROT:Q15573|GENE:9015
UNIPROT:O75487:T116:PRGE	Glypican-4|GPC4	UNIPROT:O75487|GENE:2239
UNIPROT:Q9BQ15:T116:PRGE	SOSS complex subunit B1|OBFC2B	UNIPROT:Q9BQ15|GENE:79035
UNIPROT:Q9H0K4:T116:PRGE	Radial spoke head protein 6 homolog A|RSPH6A	UNIPROT:Q9H0K4|GENE:81492
UNIPROT:Q9BZL6:T116:PRGE	Serine/threonine-protein kinase D2|PRKD2	UNIPROT:Q9BZL6|GENE:25865
UNIPROT:P21980:T116:PRGE	Protein-glutamine gamma-glutamyltransferase 2|TGM2	UNIPROT:P21980|GENE:7052
UNIPROT:Q6P3W7:T116:PRGE	SCY1-like protein 2|SCYL2	UNIPROT:Q6P3W7|GENE:55681
UNIPROT:Q96BM9:T116:PRGE	ADP-ribosylation factor-like protein 8A|ARL8A	UNIPROT:Q96BM9|GENE:127829
UNIPROT:P78352:T116:PRGE	Disks large homolog 4|DLG4	UNIPROT:P78352|GENE:1742
UNIPROT:Q9Y2H8:T116:PRGE	Zinc finger protein 510|ZNF510	UNIPROT:Q9Y2H8|GENE:22869
UNIPROT:Q16878:T116:PRGE	Cysteine dioxygenase type 1|CDO1	UNIPROT:Q16878|GENE:1036
UNIPROT:Q96H79:T116:PRGE	Zinc finger CCCH-type antiviral protein 1-like|ZC3HAV1L	UNIPROT:Q96H79|GENE:92092
UNIPROT:Q8TCP9:T116:PRGE	Protein FAM200A|FAM200A	UNIPROT:Q8TCP9|GENE:221786
UNIPROT:Q9H9R9:T116:PRGE	Dysbindin domain-containing protein 1|DBNDD1	UNIPROT:Q9H9R9|GENE:79007
UNIPROT:Q9BRL6:T116:PRGE	Splicing factor, arginine/serine-rich 2B|SRSF8	UNIPROT:Q9BRL6|GENE:10929
UNIPROT:Q16143:T116:PRGE	Beta-synuclein|SNCB	UNIPROT:Q16143|GENE:6620
UNIPROT:Q13303:T116:PRGE	Voltage-gated potassium channel subunit beta-2|KCNAB2	UNIPROT:Q13303|GENE:8514
UNIPROT:Q8N715:T116:PRGE	Uncharacterized protein C1orf65|C1orf65	UNIPROT:Q8N715|GENE:164127
UNIPROT:Q53H76:T116:PRGE	Phospholipase A1 member A|PLA1A	UNIPROT:Q53H76|GENE:51365
UNIPROT:Q17RY0:T116:PRGE	CPE-BP4|CPEB4	UNIPROT:Q17RY0|GENE:80315
UNIPROT:Q5JXA9:T116:PRGE	SIRP-beta-2|SIRPB2	UNIPROT:Q5JXA9|GENE:284759
UNIPROT:Q16775:T116:PRGE	Hydroxyacylglutathione hydrolase, mitochondrial|HAGH	UNIPROT:Q16775|GENE:3029
UNIPROT:P62341:T116:PRGE	Selenoprotein T|SELT	UNIPROT:P62341|GENE:51714
UNIPROT:Q9NWZ5:T116:PRGE	Uridine-cytidine kinase-like 1|UCKL1	UNIPROT:Q9NWZ5|GENE:54963
UNIPROT:P23511:T116:PRGE	Nuclear transcription factor Y subunit alpha|NFYA	UNIPROT:P23511|GENE:4800
UNIPROT:Q6P9H4:T116:PRGE	Connector enhancer of kinase suppressor of ras 3|CNKSR3	UNIPROT:Q6P9H4|GENE:154043
UNIPROT:P37198:T116:PRGE	Nuclear pore glycoprotein p62|NUP62	UNIPROT:P37198|GENE:23636
UNIPROT:P54108:T116:PRGE	Cysteine-rich secretory protein 3|CRISP3	UNIPROT:P54108|GENE:10321
UNIPROT:Q8N2C3:T116:PRGE	DEP domain-containing protein 4|DEPDC4	UNIPROT:Q8N2C3|GENE:120863
UNIPROT:Q15937:T116:PRGE	Zinc finger protein 79|ZNF79	UNIPROT:Q15937|GENE:7633
UNIPROT:Q8IXQ3:T116:PRGE	Uncharacterized protein C9orf40|C9orf40	UNIPROT:Q8IXQ3|GENE:55071
UNIPROT:Q96GL9:T116:PRGE	Protein FAM163A|FAM163A	UNIPROT:Q96GL9|GENE:148753
UNIPROT:Q9H871:T116:PRGE	Protein RMD5 homolog A|RMND5A	UNIPROT:Q9H871|GENE:64795
UNIPROT:O95711:T116:PRGE	Ly-86|LY86	UNIPROT:O95711|GENE:9450
UNIPROT:Q9C0J1:T116:PRGE	BGnT-4|B3GNT4	UNIPROT:Q9C0J1|GENE:79369
UNIPROT:Q9BXU9:T116:PRGE	CaBP8|CALN1	UNIPROT:Q9BXU9|GENE:83698
UNIPROT:Q9UGM6:T116:PRGE	Tryptophanyl-tRNA synthetase, mitochondrial|WARS2	UNIPROT:Q9UGM6|GENE:10352
UNIPROT:P55017:T116:PRGE	Solute carrier family 12 member 3|SLC12A3	UNIPROT:P55017|GENE:6559
UNIPROT:Q9BXW4:T116:PRGE	Microtubule-associated proteins 1A/1B light chain 3C|MAP1LC3C	UNIPROT:Q9BXW4|GENE:440738
UNIPROT:Q86V24:T116:PRGE	Adiponectin receptor protein 2|ADIPOR2	UNIPROT:Q86V24|GENE:79602
UNIPROT:P23327:T116:PRGE	Sarcoplasmic reticulum histidine-rich calcium-binding protein|HRC	UNIPROT:P23327|GENE:3270
UNIPROT:Q9BT40:T116:PRGE	Inositol polyphosphate 5-phosphatase K|INPP5K	UNIPROT:Q9BT40|GENE:51763
UNIPROT:Q99758:T116:PRGE	ATP-binding cassette sub-family A member 3|ABCA3	UNIPROT:Q99758|GENE:21
UNIPROT:Q9BZM4:T116:PRGE	N2DL-3|ULBP3	UNIPROT:Q9BZM4|GENE:79465
UNIPROT:Q15475:T116:PRGE	Homeobox protein SIX1|SIX1	UNIPROT:Q15475|GENE:6495
UNIPROT:A8K0R7:T116:PRGE	Zinc finger protein 839|ZNF839	UNIPROT:A8K0R7|GENE:55778
UNIPROT:Q96GG9:T116:PRGE	DCN1-like protein 1|DCUN1D1	UNIPROT:Q96GG9|GENE:54165
UNIPROT:Q9NSI5:T116:PRGE	Immunoglobulin superfamily member 5|IGSF5	UNIPROT:Q9NSI5|GENE:150084
UNIPROT:O95766:T116:PRGE	UPF0550 protein C7orf28	UNIPROT:O95766
UNIPROT:A8MZA4:T116:PRGE	Putative golgin subfamily A member 6-like protein 6|GOLGA6L6	UNIPROT:A8MZA4|GENE:727832
UNIPROT:Q13595:T116:PRGE	TRA2-alpha|TRA2A	UNIPROT:Q13595|GENE:29896
UNIPROT:P55344:T116:PRGE	Lens fiber membrane intrinsic protein|LIM2	UNIPROT:P55344|GENE:3982
UNIPROT:Q03933:T116:PRGE	HSF 2|HSF2	UNIPROT:Q03933|GENE:3298
UNIPROT:Q13685:T116:PRGE	Angio-associated migratory cell protein|AAMP	UNIPROT:Q13685|GENE:14
UNIPROT:Q96AG4:T116:PRGE	Leucine-rich repeat-containing protein 59|LRRC59	UNIPROT:Q96AG4|GENE:55379
UNIPROT:P05108:T116:PRGE	Cholesterol side-chain cleavage enzyme, mitochondrial|CYP11A1	UNIPROT:P05108|GENE:1583
UNIPROT:P18124:T116:PRGE	60S ribosomal protein L7|RPL7	UNIPROT:P18124|GENE:6129
UNIPROT:Q9Y3P8:T116:PRGE	Signaling threshold-regulating transmembrane adapter 1|SIT1	UNIPROT:Q9Y3P8|GENE:27240
UNIPROT:Q6NZI2:T116:PRGE	Polymerase I and transcript release factor|PTRF	UNIPROT:Q6NZI2|GENE:284119
UNIPROT:P78358:T116:PRGE	Cancer/testis antigen 1	UNIPROT:P78358
UNIPROT:Q86SH4:T116:PRGE	Putative testis-specific prion protein	UNIPROT:Q86SH4
UNIPROT:Q6NUM9:T116:PRGE	All-trans-retinol 13,14-reductase|RETSAT	UNIPROT:Q6NUM9|GENE:54884
UNIPROT:Q14562:T116:PRGE	ATP-dependent RNA helicase DHX8|DHX8	UNIPROT:Q14562|GENE:1659
UNIPROT:O95807:T116:PRGE	Transmembrane protein 50A|TMEM50A	UNIPROT:O95807|GENE:23585
UNIPROT:Q07960:T116:PRGE	Rho GTPase-activating protein 1|ARHGAP1	UNIPROT:Q07960|GENE:392
UNIPROT:Q8N7H1:T116:PRGE	Putative uncharacterized protein C12orf61|C12orf61	UNIPROT:Q8N7H1|GENE:283416
UNIPROT:B9EJG8:T116:PRGE	Transmembrane protein 150C|TMEM150C	UNIPROT:B9EJG8|GENE:441027
UNIPROT:Q92805:T116:PRGE	Golgin subfamily A member 1|GOLGA1	UNIPROT:Q92805|GENE:2800
UNIPROT:P13637:T116:PRGE	Na(+)/K(+) ATPase alpha-3 subunit|ATP1A3	UNIPROT:P13637|GENE:478
UNIPROT:Q9NX65:T116:PRGE	Zinc finger protein 434|ZNF434	UNIPROT:Q9NX65|GENE:54925
UNIPROT:Q9NXF8:T116:PRGE	Palmitoyltransferase ZDHHC7|ZDHHC7	UNIPROT:Q9NXF8|GENE:55625
UNIPROT:Q9HCE1:T116:PRGE	Putative helicase MOV-10|MOV10	UNIPROT:Q9HCE1|GENE:4343
UNIPROT:Q8TBR7:T116:PRGE	Protein FAM57A|FAM57A	UNIPROT:Q8TBR7|GENE:79850
UNIPROT:Q8N290:T116:PRGE	Putative uncharacterized protein C3orf53	UNIPROT:Q8N290
UNIPROT:Q96RJ6:T116:PRGE	Fer3-like protein|FERD3L	UNIPROT:Q96RJ6|GENE:222894
UNIPROT:O75426:T116:PRGE	F-box only protein 24|FBXO24	UNIPROT:O75426|GENE:26261
UNIPROT:Q9Y3Q3:T116:PRGE	Transmembrane emp24 domain-containing protein 3|TMED3	UNIPROT:Q9Y3Q3|GENE:23423
UNIPROT:O95076:T116:PRGE	Homeobox protein aristaless-like 3|ALX3	UNIPROT:O95076|GENE:257
UNIPROT:Q8IYL3:T116:PRGE	UPF0688 protein C1orf174|C1orf174	UNIPROT:Q8IYL3|GENE:339448
UNIPROT:Q96NU1:T116:PRGE	Sterile alpha motif domain-containing protein 11|SAMD11	UNIPROT:Q96NU1|GENE:148398
UNIPROT:Q9UJ90:T116:PRGE	Potassium voltage-gated channel subfamily E member 1-like protein|KCNE1L	UNIPROT:Q9UJ90|GENE:23630
UNIPROT:Q6ZRF7:T116:PRGE	Putative zinc finger protein 818	UNIPROT:Q6ZRF7
